order_item_id,order_id,product_id,quantity,unit_price
1,1,232,2,34.49
2,2,282,2,25.05
3,2,287,1,74.97
4,2,123,1,77.64
5,3,58,2,159.66
6,4,3,2,40.69
7,5,90,3,10.02
8,5,202,2,79.42
9,5,1,2,131.19
10,6,250,1,112.99
11,6,215,3,174.74
12,7,286,3,37.98
13,7,215,3,53.85
14,8,246,2,181.2
15,8,170,1,116.68
16,8,131,2,67.99
17,9,77,2,13.86
18,9,248,2,52.28
19,9,141,1,58.39
20,10,74,2,176.29
21,10,32,1,36.91
22,10,5,2,65.05
23,10,327,2,186.57
24,11,180,1,181.75
25,11,243,1,165.42
26,12,63,3,166.56
27,12,85,3,70.34
28,12,253,3,86.47
29,12,294,2,102.88
30,13,258,2,143.23
31,14,265,2,92.66
32,14,1,1,173.1
33,14,171,2,113.84
34,15,328,3,154.35
35,15,327,3,173.69
36,15,198,2,89.97
37,15,1,2,43.22
38,16,120,2,30.98
39,16,7,2,126.55
40,16,251,2,109.06
41,16,101,2,45.3
42,17,154,2,164.13
43,17,180,3,127.68
44,18,135,3,27.69
45,18,277,3,167.58
46,18,182,2,180.29
47,19,328,3,110.68
48,20,125,2,107.16
49,20,281,1,74.22
50,20,164,3,141.15
51,21,4,2,119.84
52,21,238,3,199.44
53,22,119,3,145.31
54,22,6,3,161.66
55,22,122,3,80.06
56,22,301,1,11.17
57,23,302,1,129.37
58,23,186,3,179.46
59,23,207,2,162.19
60,23,155,2,121.08
61,24,61,2,38.29
62,24,63,1,121.99
63,24,122,1,178.54
64,25,4,3,147.92
65,25,225,1,64.71
66,25,209,1,173.85
67,25,165,3,26.59
68,26,240,3,13.28
69,26,229,1,151.96
70,26,183,3,143.66
71,27,117,2,179.71
72,27,285,3,74.26
73,27,124,2,46.83
74,27,276,3,121.92
75,28,132,2,194.66
76,28,179,2,156.78
77,29,79,1,170.82
78,30,229,3,78.99
79,31,265,1,66.55
80,31,116,3,184.64
81,32,168,1,117.64
82,32,327,3,131.08
83,33,135,3,139.34
84,33,302,3,183.14
85,34,99,1,39.87
86,34,285,1,160.92
87,34,112,3,28.33
88,34,46,2,44.5
89,35,251,3,172.67
90,35,39,3,160.24
91,36,277,3,106.48
92,36,72,1,172.98
93,36,178,2,170.73
94,37,270,3,80.79
95,37,38,1,172.31
96,37,133,2,91.24
97,38,111,2,34.95
98,39,139,2,51.1
99,39,39,2,39.84
100,39,44,3,171.09
101,39,163,1,96.12
102,40,99,1,159.13
103,40,52,1,113.45
104,40,216,2,62.47
105,40,75,2,128.99
106,41,256,1,168.34
107,41,292,1,12.11
108,41,154,3,165.0
109,42,136,3,47.91
110,43,60,2,161.71
111,44,177,2,173.01
112,44,67,1,91.41
113,44,22,3,147.7
114,44,272,2,156.04
115,45,51,3,189.35
116,45,115,2,143.08
117,46,158,3,181.34
118,46,39,1,28.82
119,46,263,3,125.45
120,47,81,1,106.88
121,47,245,1,131.75
122,48,163,1,32.01
123,48,193,1,23.14
124,48,280,2,104.77
125,49,5,2,74.32
126,49,249,2,101.35
127,50,266,2,70.05
128,50,114,1,170.89
129,50,53,2,88.35
130,51,214,2,180.41
131,52,28,2,18.73
132,52,322,2,42.78
133,52,267,2,12.88
134,52,254,2,76.15
135,53,293,1,183.01
136,54,166,2,23.87
137,55,45,2,25.94
138,56,121,1,49.72
139,56,28,2,19.5
140,56,132,1,34.66
141,57,187,3,134.86
142,57,191,3,12.95
143,57,93,1,115.0
144,57,328,1,162.5
145,58,238,3,71.32
146,58,26,1,190.41
147,58,155,2,124.07
148,59,163,3,21.59
149,60,220,1,155.45
150,60,188,1,107.44
151,60,208,2,57.82
152,60,5,2,169.86
153,61,244,2,26.78
154,61,59,3,44.96
155,61,285,3,77.58
156,62,49,2,24.82
157,62,82,3,57.38
158,62,131,2,195.54
159,63,179,2,23.14
160,63,106,1,162.84
161,63,198,2,88.24
162,63,45,2,175.08
163,64,307,2,78.13
164,64,149,3,107.2
165,64,82,3,186.27
166,64,132,1,126.9
167,65,117,3,52.37
168,66,159,2,16.78
169,66,273,2,104.38
170,67,56,1,173.27
171,67,113,3,25.75
172,68,73,3,99.03
173,68,276,3,138.68
174,68,15,3,108.15
175,68,97,3,89.01
176,69,46,2,60.75
177,69,152,2,172.76
178,70,252,2,175.93
179,70,63,2,135.5
180,70,238,3,23.74
181,70,107,3,146.87
182,71,197,2,65.32
183,71,232,2,82.14
184,71,22,2,138.59
185,71,7,2,177.32
186,72,186,1,113.97
187,72,205,2,50.91
188,72,67,2,69.15
189,72,324,2,93.93
190,73,184,3,107.12
191,73,56,2,70.51
192,73,226,1,199.16
193,73,321,1,187.35
194,74,324,3,106.62
195,74,291,3,34.69
196,74,64,3,53.82
197,75,74,1,111.46
198,75,109,1,89.41
199,75,229,1,48.1
200,75,41,1,106.29
201,76,127,3,178.3
202,76,241,3,47.95
203,76,17,2,94.18
204,77,191,3,193.38
205,77,218,1,35.95
206,78,43,1,57.56
207,78,234,1,183.83
208,78,222,1,154.18
209,78,246,3,131.86
210,79,221,2,45.14
211,79,324,3,174.66
212,79,257,3,38.44
213,80,261,3,105.35
214,80,266,1,85.22
215,80,133,3,113.06
216,81,246,2,56.45
217,81,38,2,103.19
218,81,147,3,92.79
219,82,115,1,84.61
220,82,249,3,177.17
221,82,24,2,112.02
222,82,285,2,165.52
223,83,212,1,134.79
224,83,208,3,112.35
225,84,42,2,123.73
226,84,115,2,166.81
227,84,323,2,91.07
228,84,253,2,56.01
229,85,17,3,199.0
230,85,244,2,45.25
231,85,135,3,13.47
232,85,119,1,31.74
233,86,71,1,105.36
234,86,297,1,70.77
235,87,68,1,98.75
236,87,103,2,95.12
237,87,181,3,10.21
238,87,53,1,96.61
239,88,241,2,133.15
240,88,178,1,14.4
241,89,189,1,15.52
242,89,201,3,22.99
243,89,66,3,73.18
244,90,89,2,86.98
245,91,74,2,40.64
246,91,125,1,101.91
247,92,135,1,156.12
248,92,77,3,128.47
249,92,73,3,184.42
250,93,46,2,103.39
251,93,256,2,187.19
252,93,213,1,39.99
253,94,229,3,41.57
254,94,23,2,44.86
255,95,295,3,139.75
256,96,318,1,129.06
257,96,185,1,30.61
258,97,167,2,44.0
259,98,202,3,70.43
260,98,179,1,68.22
261,98,22,2,123.05
262,99,125,3,175.81
263,99,295,2,109.91
264,100,126,2,174.7
265,100,75,2,92.15
266,101,184,1,51.73
267,101,296,1,165.22
268,102,46,2,117.6
269,103,110,3,51.42
270,104,141,3,184.78
271,105,71,1,40.63
272,106,228,1,106.36
273,106,307,2,195.88
274,107,217,1,63.82
275,107,318,3,57.56
276,108,64,2,77.08
277,109,233,1,130.59
278,110,267,3,76.26
279,110,191,3,80.8
280,110,51,2,138.52
281,111,195,1,89.77
282,112,162,2,46.91
283,112,158,1,42.43
284,112,143,3,186.66
285,113,64,1,89.45
286,114,166,1,197.65
287,115,37,2,11.77
288,115,290,1,175.59
289,115,275,3,15.25
290,115,19,1,188.04
291,116,131,2,43.96
292,116,216,2,57.63
293,117,68,2,194.05
294,117,233,2,76.85
295,117,148,3,10.8
296,118,17,3,86.24
297,118,252,1,16.37
298,118,125,1,158.24
299,119,123,2,112.3
300,120,81,2,192.32
301,121,176,3,34.32
302,121,226,2,140.17
303,122,252,2,197.91
304,122,287,3,78.91
305,122,188,2,73.06
306,122,77,1,58.5
307,123,22,1,161.59
308,123,320,3,31.34
309,123,296,3,112.15
310,123,140,3,136.11
311,124,51,3,70.62
312,124,235,3,142.21
313,124,40,1,67.52
314,125,33,3,129.09
315,126,262,3,195.46
316,126,2,1,79.66
317,126,267,2,85.21
318,126,295,3,125.09
319,127,238,2,174.53
320,127,313,1,72.15
321,128,120,1,66.27
322,128,5,3,20.91
323,128,314,1,79.16
324,128,278,1,193.87
325,129,5,1,97.77
326,129,45,3,154.56
327,130,313,2,161.38
328,130,84,1,152.13
329,130,99,2,38.55
330,130,245,2,60.04
331,131,51,3,20.74
332,131,7,3,87.19
333,132,177,2,131.24
334,132,73,2,98.39
335,132,284,2,169.92
336,132,72,2,52.64
337,133,127,1,198.23
338,133,239,2,81.71
339,133,72,2,135.72
340,134,317,3,64.52
341,135,304,2,148.8
342,135,125,3,31.62
343,136,14,2,169.21
344,137,7,3,120.67
345,137,213,1,55.6
346,138,270,3,74.9
347,139,300,1,100.0
348,139,242,1,42.01
349,139,204,1,80.89
350,139,270,1,137.45
351,140,175,3,84.02
352,140,291,1,88.95
353,140,113,3,195.65
354,141,191,2,177.82
355,141,301,2,22.91
356,141,160,2,118.04
357,142,270,3,190.5
358,142,289,2,22.11
359,142,290,2,157.24
360,142,80,3,198.08
361,143,235,3,40.42
362,143,99,1,120.31
363,143,159,1,100.61
364,143,73,1,119.39
365,144,139,1,25.4
366,145,157,2,122.3
367,145,46,2,149.66
368,145,240,1,45.71
369,146,271,3,41.59
370,147,114,1,163.11
371,148,265,2,158.7
372,148,140,1,182.18
373,149,32,2,167.55
374,150,323,3,162.95
375,150,39,3,57.46
376,150,293,2,80.33
377,151,200,1,64.36
378,151,193,1,94.57
379,152,248,1,47.43
380,152,240,3,11.25
381,153,59,1,165.98
382,153,279,3,56.06
383,153,133,1,93.14
384,154,238,1,72.06
385,154,21,3,101.91
386,155,238,1,48.8
387,155,101,3,107.41
388,156,87,1,174.91
389,156,279,3,38.04
390,156,30,3,150.54
391,156,251,1,178.5
392,157,241,3,47.51
393,157,315,3,101.35
394,158,91,1,176.85
395,158,307,1,74.9
396,158,20,2,118.17
397,159,79,2,175.3
398,159,142,2,82.04
399,159,147,2,109.38
400,159,203,3,108.08
401,160,71,1,188.19
402,160,68,1,15.28
403,160,277,3,133.34
404,161,211,1,153.8
405,161,282,2,199.64
406,161,93,3,36.67
407,161,196,3,160.8
408,162,49,2,177.37
409,162,216,2,101.06
410,162,88,1,71.21
411,162,14,1,104.86
412,163,115,3,143.1
413,164,181,2,136.09
414,165,172,2,120.9
415,165,48,2,65.02
416,165,35,3,51.88
417,166,109,3,97.01
418,166,13,1,118.83
419,167,50,2,80.96
420,167,86,2,23.35
421,167,188,1,66.91
422,168,253,3,177.14
423,168,69,3,174.05
424,168,104,3,60.44
425,168,314,3,186.36
426,169,13,2,133.6
427,169,6,1,87.04
428,170,16,1,96.97
429,171,192,1,127.78
430,171,303,1,152.96
431,171,177,2,93.18
432,171,225,3,45.23
433,172,176,1,87.25
434,172,306,1,63.01
435,173,270,1,145.81
436,173,297,3,80.94
437,173,14,1,123.16
438,174,83,1,196.31
439,174,102,3,30.3
440,174,233,2,75.41
441,175,129,3,122.4
442,175,200,3,105.0
443,176,49,2,135.83
444,177,138,3,91.96
445,177,151,1,11.01
446,177,234,3,163.49
447,178,153,1,87.86
448,178,41,2,107.98
449,179,247,3,116.16
450,180,217,2,154.5
451,180,17,2,104.84
452,180,111,1,18.11
453,181,259,2,107.37
454,181,230,2,36.34
455,182,219,3,168.78
456,183,14,3,18.52
457,183,61,2,123.83
458,183,11,1,184.77
459,184,271,2,134.72
460,184,312,1,159.71
461,184,326,3,56.84
462,185,154,3,28.82
463,185,85,1,168.98
464,185,102,3,166.12
465,186,241,1,49.03
466,186,258,3,47.62
467,186,200,3,106.78
468,187,249,3,94.22
469,187,199,2,40.77
470,187,271,3,15.33
471,188,271,2,53.76
472,188,102,2,109.19
473,189,107,1,68.53
474,189,326,3,34.86
475,189,266,3,141.34
476,189,279,3,17.5
477,190,220,2,196.36
478,190,13,1,199.46
479,191,24,1,32.51
480,191,123,3,114.55
481,192,280,3,142.27
482,192,236,2,39.64
483,192,168,3,21.16
484,193,282,1,171.06
485,193,165,1,103.76
486,193,122,1,165.81
487,194,277,2,31.31
488,194,27,3,46.37
489,195,172,2,159.55
490,195,159,1,129.53
491,195,96,2,25.8
492,195,59,3,187.16
493,196,179,3,58.46
