order_id,customer_id,order_date,payment_method,marketing_channel,total_amount
1,489,2023-06-10,PayPal,Referral,404.95
2,1208,2023-09-30,Bank Transfer,Email,339.29
3,79,2023-09-15,Card,Email,88.8
4,11,2024-11-25,Bank Transfer,Referral,453.02
5,11,2023-05-28,Bank Transfer,Referral,229.84
6,1583,2023-11-09,Bank Transfer,Paid Ads,446.4
7,41,2024-09-23,PayPal,Paid Ads,338.7
8,1337,2024-07-04,PayPal,Email,133.46
9,1977,2023-07-26,PayPal,Referral,375.43
10,149,2023-03-23,Card,Organic,241.78
11,1096,2023-03-28,Bank Transfer,Social Media,265.32
12,1706,2023-08-31,Card,Paid Ads,122.46
13,1529,2024-10-11,Bank Transfer,Email,265.95
14,1520,2023-02-11,PayPal,Referral,58.31
15,1869,2024-05-23,PayPal,Organic,326.97
16,895,2024-06-14,Bank Transfer,Paid Ads,182.46
17,1783,2024-05-23,Card,Referral,338.16
18,767,2024-06-23,PayPal,Referral,86.75
19,947,2024-02-28,Card,Email,323.28
20,1448,2024-05-14,Card,Email,391.99
21,1172,2023-12-30,Card,Paid Ads,248.22
22,119,2024-10-30,PayPal,Organic,176.7
23,1700,2023-04-17,Bank Transfer,Social Media,148.36
24,1510,2024-05-04,Card,Referral,317.31
25,1986,2023-10-15,Card,Social Media,341.6
26,1807,2024-05-18,Card,Email,206.53
27,64,2024-04-21,Bank Transfer,Email,428.55
28,694,2024-06-05,PayPal,Referral,309.7
29,591,2024-01-14,PayPal,Social Media,371.71
30,830,2024-11-21,Bank Transfer,Social Media,77.64
31,675,2024-04-02,Bank Transfer,Email,159.98
32,85,2023-05-17,Bank Transfer,Email,388.03
33,719,2023-11-12,Bank Transfer,Paid Ads,227.28
34,581,2023-11-27,PayPal,Email,275.74
35,1947,2024-03-25,Card,Organic,408.79
36,1739,2024-12-05,PayPal,Paid Ads,326.58
37,855,2024-05-22,PayPal,Email,216.9
38,1196,2024-12-04,Card,Referral,212.81
39,76,2024-07-05,Card,Referral,447.54
40,680,2023-10-16,PayPal,Email,198.9
41,341,2023-02-26,Card,Organic,465.57
42,1208,2023-11-01,PayPal,Social Media,94.45
43,1256,2023-08-12,PayPal,Paid Ads,171.86
44,1354,2024-10-26,Bank Transfer,Referral,160.54
45,1699,2023-11-19,Bank Transfer,Email,386.61
46,1876,2024-06-09,Card,Referral,453.3
47,1875,2023-08-30,Bank Transfer,Paid Ads,214.61
48,412,2023-02-25,Card,Organic,303.74
49,710,2024-08-12,PayPal,Paid Ads,134.85
50,1977,2024-03-08,PayPal,Paid Ads,72.49
51,1121,2024-07-06,Card,Email,68.04
52,1247,2023-04-16,Bank Transfer,Paid Ads,412.07
53,1056,2023-07-05,Card,Organic,73.03
54,759,2024-03-23,Card,Referral,204.77
55,1348,2023-07-11,Card,Email,134.54
56,545,2024-11-10,Bank Transfer,Paid Ads,241.92
57,995,2024-11-29,Card,Paid Ads,361.18
